Date,Time,Sender,Message,Cleaned_Message,Polarity,Subjectivity,Sentiment,Emotion_Scores,Dominant_Emotion
21/08/2025,3:28,pm - Taco Bell,"Hello Taco Bell Lover, Your order No. 60 is ready, please pick it from the counter and enjoy your meal 😊",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion,0.30000000000000004,0.5,positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 2}",positive
22/08/2025,10:34,am - Taco Bell,Dear Taco Lover. We hope you enjoyed your meal at PMC Kurla Mumbai - Taco Bell yesterday.,dear taco lover we hope you enjoyed your meal at pmc kurla mumbai  taco bell yesterday,0.5,0.7,positive,"{'positive': 3, 'anticipation': 2, 'joy': 2, 'trust': 2, 'surprise': 1}",positive
01/09/2025,11:26,am - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 2, Please click the link https://klr.bz/POSIST/WtFFY to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
01/09/2025,11:29,am - Taco Bell,"Hello Taco Bell Lover, Your order No. 2 is ready, please pick it from the counter and enjoy your meal 😊",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion,0.30000000000000004,0.5,positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 2}",positive
02/09/2025,10:43,am - Taco Bell,Dear Taco Lover. We hope you enjoyed your meal at PMC Kurla Mumbai - Taco Bell yesterday.,dear taco lover we hope you enjoyed your meal at pmc kurla mumbai  taco bell yesterday,0.5,0.7,positive,"{'positive': 3, 'anticipation': 2, 'joy': 2, 'trust': 2, 'surprise': 1}",positive
09/10/2025,2:45,pm - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 53, Please click the link https://klr.bz/POSIST/F4H7db to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
09/10/2025,2:51,pm - Taco Bell,"Hello Taco Bell Lover, Your order No. 53 is ready, please pick it from the counter and enjoy your meal 😊",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion,0.30000000000000004,0.5,positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 2}",positive
10/10/2025,10:32,am - Taco Bell,Dear Taco Lover. We hope you enjoyed your meal at PMC Kurla Mumbai - Taco Bell yesterday.,dear taco lover we hope you enjoyed your meal at pmc kurla mumbai  taco bell yesterday,0.5,0.7,positive,"{'positive': 3, 'anticipation': 2, 'joy': 2, 'trust': 2, 'surprise': 1}",positive
13/10/2025,11:16,am - Taco Bell,"Hi Taco Bell lover, thank you for placing the order with Taco Bell. Your order is confirmed, and Order No. is 2, Please click the link https://klr.bz/POSIST/AwjWdb to get the E-invoice. We will notify you once the food is ready!",hi taco bell lover thank you for placing the order with taco bell your order is confirmed and order no is  please click the link  to get the einvoice we will notify you once the food is ready,0.30000000000000004,0.75,positive,"{'anticipation': 2, 'joy': 2, 'positive': 3, 'trust': 3}",trust
13/10/2025,11:29,am - Taco Bell,"Hello Taco Bell Lover, Your order No. 2 is ready, please pick it from the counter and enjoy your meal 😊",hello taco bell lover your order no  is ready please pick it from the counter and enjoy your meal  emotion,0.30000000000000004,0.5,positive,"{'anticipation': 3, 'joy': 2, 'positive': 3, 'trust': 2}",positive
14/10/2025,10:33,am - Taco Bell,Dear Taco Lover. We hope you enjoyed your meal at PMC Kurla Mumbai - Taco Bell yesterday.,dear taco lover we hope you enjoyed your meal at pmc kurla mumbai  taco bell yesterday,0.5,0.7,positive,"{'positive': 3, 'anticipation': 2, 'joy': 2, 'trust': 2, 'surprise': 1}",positive
